"","region_name","Mean of the Stringency Index","Government_response_mean","containment_health_index","Economic_support_mean","C1_school_closing","C2_workplace_closing","C3_cancel_public_event","C4_restrictions_on_gatherings","C5_close_public_transport","C6_stay_at_home_requirements","C7_movementrestriction","C8_internationaltravel","E1_income_Support","E2_debtrelief","H1_Public_info_campaigns","H2_testing_policy","H3_contact_tracing","H6_facial_coverings","H7_vaccination_policy","H8_protection_of_elderly_people","adults 19-25","adult 26-34","adult 25-34","adults 55-64","Adults Over 65","GDP Growth Rate","Total mean","beforeMean","Anxiety or Depression Diffrenence","Mortality Rate"
"1","Alabama",43.2403326403326,46.9184265010352,48.1922083333332,38.6413043478261,1.95426195426195,1.13929313929314,1.01871101871102,0.536382536382536,0.457380457380457,0.975051975051975,0.844074844074844,2.74012474012474,1.10602910602911,0.813449023861171,1.71309771309771,2.32432432432432,1.38669438669439,2.2521186440678,2.25342465753425,2.12291666666667,0.114023591087811,0.150720838794233,0.328964613368283,0.176933158584535,0.229357798165138,0.0400291898576774,44948.5294117647,36.56875,-2.93303571428572,0.00214050628429038
"2","Alaska",53.2439958592133,52.4649689440995,52.7168672199172,50.6224066390041,2.24430641821946,1.15320910973085,1.26501035196687,2.61697722567288,0.277432712215321,0.900621118012422,1.54451345755694,2.74120082815735,1.09937888198758,1.33954451345756,1.90890269151139,2.27536231884058,1.32505175983437,2.042194092827,2.63513513513514,1.70124481327801,0.125506072874494,0.187584345479082,0.331983805668016,0.178137651821862,0.175438596491228,0.0320658508534566,63265.4117647059,36.284375,-3.49866071428571,0.000455626026522709
"3","Arizona",49.6754356846475,49.8912008281572,50.4591060291061,46.115221987315,1.93153526970954,1.43360995850622,1.25103734439834,1.66182572614108,0.234439834024896,0.856846473029046,0.921161825726141,2.74066390041494,1.43248945147679,0.827800829875519,1.82157676348548,2.35477178423237,1.67634854771784,2.05708245243129,2.12925170068027,1.2016632016632,0.122368421052632,0.159210526315789,0.317105263157895,0.163157894736842,0.239473684210526,0.0484154462933986,49850.7058823529,37.753125,-5.28169642857143,0.00236024666524687
"4","Arkansas",50.3922199170122,51.4085921325052,53.2908108108107,38.1496881496882,1.80705394190871,1.48340248962656,0.929460580912863,2.45228215767635,0.728215767634855,0.755186721991701,0.929460580912863,2.74066390041494,1.0207468879668,0.784232365145228,1.69917012448133,2.31742738589212,1.48132780082988,2.04228329809725,2.78231292517007,2.23284823284823,0.115537848605578,0.152722443559097,0.329349269588313,0.173970783532537,0.229747675962815,0.0420240329870272,47056.5882352941,38.79375,-3.51517857142858,0.00188163199686461
"5","California",56.8935343035343,59.9295445134575,57.6653958333331,75.4947916666667,2.44698544698545,1.8024948024948,1.71517671517672,3.1018711018711,0,1.17047817047817,1.07692307692308,2.77338877338877,1.73596673596674,1.71101871101871,1.77754677754678,2.19334719334719,1.44282744282744,2.40466101694915,2.10958904109589,2.55625,0.120576671035387,0.179554390563565,0.344692005242464,0.161205766710354,0.195281782437746,0.0627397835680268,68576.5294117647,39.55625,-7.27053571428571,0.00155382617901644
"6","Colorado",53.4075155279505,53.3632505175984,52.3768049792532,60.1141078838174,1.82608695652174,1.56107660455487,1.07453416149068,3.39544513457557,0.84472049689441,0.956521739130435,0.869565217391304,2.74120082815735,1.15527950310559,1.67287784679089,1.72670807453416,1.73913043478261,1.31262939958592,1.92194092827004,2.14864864864865,2.06846473029046,0.115734720416125,0.183355006501951,0.344603381014304,0.163849154746424,0.192457737321196,0.0502254223323229,63650.1176470588,36.884375,-7.04151785714286,0.00106695524238364
"7","Connecticut",58.658115942029,60.4510351966874,59.709315352697,65.6120331950207,2.05383022774327,1.81780538302277,1.09937888198758,3.01242236024845,0.703933747412008,0.778467908902691,1.33747412008282,2.74120082815735,1.08488612836439,1.66459627329193,1.83022774327122,2.46169772256729,1.67287784679089,2.33755274261603,2.61486486486486,2.0207468879668,0.109833971902937,0.144316730523627,0.330779054916986,0.189016602809706,0.226053639846743,0.0344345251439699,77251.5294117647,35.759375,-7.13080357142857,0.00221626080764988
"8","Delaware",55.4731120331948,55.706066252588,55.7278378378379,47.3177083333333,2.03734439834025,1.54149377593361,1.34854771784232,2.48132780082988,0.352697095435685,1.04149377593361,0.981327800829875,2.74066390041494,1.10373443983402,1.52904564315353,1.81742738589212,2.28274428274428,1.64107883817427,2.41014799154334,2.26027397260274,1.62993762993763,0.103580562659847,0.150895140664962,0.309462915601023,0.184143222506394,0.251918158567775,0.0388262801968702,55578.7647058823,33.353125,-4.403125,0.00159778119191119
"9","Florida",49.7055925155924,49.5738716356109,49.8594166666668,54.2985232067511,1.77338877338877,1.44698544698545,1.25363825363825,2.72972972972973,0.498960498960499,1.58212058212058,1.18503118503118,2.74012474012474,0.862785862785863,1.22869022869023,1.76091476091476,1.55509355509356,0.958419958419958,2.3728813559322,2.71232876712329,2.54166666666667,0.101137800252844,0.144121365360303,0.314791403286978,0.173198482932996,0.266750948166877,0.0486588649050124,55788.8235294118,37.96875,-6.81160714285714,0.00158194125790788
"10","Georgia",52.5989052631575,51.6091925465837,51.3227215189871,50.2598752598753,1.89052631578947,1.06105263157895,1.54105263157895,2.46105263157895,0.345263157894737,1.61263157894737,0.842105263157895,2.73684210526316,0.861052631578947,1.50526315789474,1.69684210526316,2.44631578947368,1.22947368421053,1.30967741935484,2.68571428571429,2,0.119143239625167,0.163319946452477,0.357429718875502,0.167336010709505,0.194109772423025,0.0436914816346232,50915.0588235294,37.45,-5.67142857142857,0.00183022409731454
"11","Hawaii",64.8260165975102,59.58016563147,60.8920997920998,62.7858627858628,1.98547717842324,1.77052631578947,1.44099378881988,3.30434782608696,0.501035196687371,1.61618257261411,1.66804979253112,2.74012474012474,1.0850622406639,1.33195020746888,1.83609958506224,2.02826086956522,1.66597510373444,2.19450317124736,2.1156462585034,1.67567567567568,0.0932642487046632,0.150259067357513,0.330310880829016,0.170984455958549,0.255181347150259,0.0305678828443376,55915.9411764706,33.478125,-3.49241071428571,0.000328340968934892
"12","Idaho",49.4327800829876,44.2860662525879,45.5722453222452,52.9365904365904,1.66597510373444,1.48547717842324,1.07883817427386,2.95020746887967,0.0767634854771784,0.850622406639004,1.16597510373444,2.74066390041494,0.863070539419087,0.742738589211618,1.70539419087137,1.66804979253112,0.95850622406639,1.63002114164905,2.51020408163265,1.20790020790021,0.115961800818554,0.163710777626194,0.330150068212824,0.170532060027285,0.221009549795362,0.0476038893601534,47354.5882352941,34.184375,-4.55580357142857,0.00106379621595503
"13","Illinois",53.869439834025,51.3795859213252,51.1127234927234,46.7255717255717,2.23651452282158,1.13900414937759,1.05809128630705,2.87966804979253,0,1.13900414937759,1.65767634854772,2.74066390041494,1.12033195020747,1.42116182572614,1.79668049792531,2.31327800829876,0.95850622406639,2.25581395348837,2.29251700680272,1.25779625779626,0.114023591087811,0.165137614678899,0.338138925294889,0.17300131061599,0.209698558322412,0.0516143534948472,61407.1764705882,36.696875,-6.93258928571429,0.00188761970150958
"14","Indiana",46.5917219917013,47.428695652174,47.5145114345113,38.2845188284519,2.02904564315353,1.16182572614108,1.11410788381743,2.08298755186722,0.132780082987552,0.827800829875519,1.04979253112033,2.74066390041494,1.10165975103734,1.18257261410788,1.77178423236515,2.10995850622407,1.67219917012448,1.59619450317125,2.59863945578231,1.09147609147609,0.120689655172414,0.156498673740053,0.331564986737401,0.177718832891247,0.213527851458886,0.0512706839277364,51284.7058823529,36.3875,-6.1875,0.00194274644638133
"15","Iowa",43.6067012448136,46.588695652174,44.2747817047817,35.1351351351351,1.98547717842324,1.11410788381743,1.00414937759336,0.854771784232365,0.288381742738589,0.782157676348548,0.844398340248963,2.74066390041494,1.54564315352697,1.37136929460581,1.71576763485477,1.72821576763485,1.22199170124481,1.96405919661734,2.06122448979592,1.61954261954262,0.117724867724868,0.150793650793651,0.321428571428571,0.17989417989418,0.23015873015873,0.0436884717735222,52632.8823529412,32.715625,-4.42276785714286,0.00184114329123173
"16","Kansas",50.5584133611686,48.6539130434784,50.0945815899578,48.5714285714286,1.94989561586639,1.09603340292276,1.32359081419624,2.74947807933194,0.837160751565762,0.84133611691023,0.843423799582463,2.73903966597077,1.04175365344468,0.874739039665971,1.71189979123173,2.28601252609603,0.958246346555324,1.97446808510638,2.27083333333333,1.8765690376569,0.123822341857335,0.156123822341857,0.32436069986541,0.176312247644684,0.220726783310902,0.0415275721946464,54968.4705882353,34.15,-4.03571428571428,0.00167192257387525
"17","Kentucky",56.9684067085954,55.8284679089025,57.0719327731089,41.1349372384937,1.95228215767635,1.2092050209205,1.081589958159,3.15723270440252,1.62770562770563,0.941299790356394,0.930962343096234,2.73849372384937,0.888157894736842,1.31865828092243,1.84486373165618,2.49266247379455,1.66876310272537,1.96296296296296,2.19718309859155,1.97374701670644,0.116644823066841,0.149410222804718,0.332896461336828,0.179554390563565,0.222804718217562,0.0514725498574042,46114.1176470588,38.484375,-3.52723214285714,0.00140496076617135
"18","Louisiana",54.9151356993738,51.6072670807456,52.9878451882847,37.2379454926625,2.0187891440501,1.62421711899791,1.55949895615866,2.48851774530271,0.84133611691023,0.949895615866388,0.843423799582463,2.73903966597077,1.08559498956159,0.966597077244259,1.70772442588727,1.72442588726514,0.995824634655532,2.2531914893617,2.63888888888889,2.10041841004184,0.117333333333333,0.164,0.330666666666667,0.176,0.213333333333333,0.0433995157923006,49966.5294117647,41.2625,-4.33392857142857,0.00222000708515196
"19","Maine",61.2756224066394,56.0070186335405,57.1315592515592,38.1237006237006,1.55809128630705,1.42738589211618,1.29253112033195,2.69917012448133,0.964730290456432,0.964730290456432,1.65145228215768,2.74066390041494,1.07261410788382,1.13070539419087,1.79875518672199,2.2551867219917,1.64315352697095,1.89429175475687,2.39455782312925,0.85031185031185,0.0925925925925926,0.135802469135802,0.311111111111111,0.197530864197531,0.262962962962963,0.0467321557804345,52574.0588235294,34.575,-4.60357142857143,0.000557563851689959
"20","Maryland",55.8473931623929,56.3017391304346,55.7964239828693,47.9469854469854,2.01709401709402,1.42948717948718,1.52731092436975,2.96218487394958,0.407563025210084,0.945378151260504,1.23109243697479,2.73739495798319,0.861344537815126,1.68487394957983,1.71367521367521,2.26068376068376,1.36974789915966,2.42612419700214,2.63120567375887,1.89894736842105,0.105606258148631,0.160365058670143,0.345501955671447,0.179921773142112,0.208604954367666,0.0404561985036322,64646.9411764706,34.55625,-4.88482142857143,0.00138794063254965
"21","Massachusetts",57.0200627615066,56.1437888198757,58.7094129979036,58.7894736842105,2.05857740585774,1.81171548117155,1.29707112970711,3.00627615062761,0.820083682008368,0.903765690376569,1.14644351464435,2.73849372384937,0.864016736401674,0.824267782426778,1.71757322175732,2.35564853556485,1.74476987447699,2.76759061833689,2.32167832167832,1.83857442348008,0.109987357774968,0.166877370417193,0.328697850821745,0.178255372945638,0.216182048040455,0.0485367850762377,75741.5294117647,34.84375,-4.83660714285714,0.00249755053063056
"22","Michigan",52.4594813278011,52.8231884057969,54.8651143451144,37.9746835443038,2.04356846473029,1.5954356846473,1.20124481327801,2.10580912863071,0.842323651452282,0.923236514522822,0.987551867219917,2.75051975051975,1.10788381742739,0.836099585062241,1.80497925311203,2.43983402489627,1.32365145228216,2.0169133192389,2.45578231292517,2.47817047817048,0.117723156532988,0.152652005174644,0.318240620957309,0.183699870633894,0.228978007761966,0.0385484546875725,51294,35.3875,-5.90892857142858,0.00178306223606202
"23","Minnesota",53.6349052631579,49.090351966874,50.5034810126585,42.54158004158,2.06526315789474,1.20421052631579,1.34315789473684,2.91578947368421,0.317894736842105,0.957894736842105,0.873684210526316,2.74526315789474,1.10947368421053,0.827368421052632,1.81684210526316,2.14105263157895,0.957894736842105,1.48497854077253,2.24285714285714,1.67019027484144,0.108322324966975,0.165125495376486,0.332892998678996,0.180977542932629,0.214002642007926,0.0420805382027538,60660.5882352941,31.0625,-4.5625,0.00124326889279078
"24","Mississippi",48.7489552238809,45.2285300207041,45.762841880342,40.2806652806653,1.94029850746269,0.997867803837953,0.968017057569296,2.72068230277186,0.270788912579957,0.901918976545842,0.840085287846482,2.73347547974414,0.874200426439232,0.991471215351812,1.70149253731343,1.08102345415778,1.11940298507463,2.12173913043478,2.54477611940298,2.05134474327628,0.119302949061662,0.14745308310992,0.336461126005362,0.175603217158177,0.221179624664879,0.0456137390402982,41398.8823529412,40.240625,-4.68348214285714,0.00242247698299734
"25","Missouri",46.0719917012445,46.7215734989647,47.253451143451,41.6666666666667,1.6804979253112,1.05601659751037,1.63692946058091,2.73651452282158,0,1.28215767634855,0.844398340248963,2.74066390041494,1.10788381742739,0.819502074688797,1.80082987551867,2.04149377593361,1.03319502074689,2.03171247357294,2.95238095238095,1.96465696465696,0.111256544502618,0.158376963350785,0.321989528795811,0.181937172774869,0.225130890052356,0.0407535304927984,50999.5882352941,36.115625,-3.55848214285714,0.00146017931836202
"26","Montana",49.3035269709543,50.6515113871637,52.1272557172556,51.2474012474012,1.61410788381743,1.0746887966805,0.981327800829875,2.63692946058091,0.371369294605809,1.45435684647303,0.844398340248963,2.74066390041494,0.883817427385892,0.937759336099585,1.77178423236515,2.45020746887967,1.5643153526971,2.00845665961945,2.49659863945578,2.28242677824268,0.109819121447028,0.147286821705426,0.304909560723514,0.184754521963824,0.253229974160207,0.0454721993709453,52160.4705882353,32.765625,-3.45848214285714,0.00140165224518216
"27","Nebraska",48.5416421052633,50.3975983436852,49.4615189873417,41.7099792099792,1.49894736842105,1.07157894736842,1.25473684210526,1.61684210526316,0.84,0.831578947368421,0.842105263157895,2.73684210526316,1.21684210526316,1.12,1.78736842105263,2.30526315789474,1.54105263157895,1.43347639484979,2.35,1.54008438818565,0.118918918918919,0.164864864864865,0.324324324324324,0.174324324324324,0.218918918918919,0.0553136247890516,56531.8823529412,31.678125,-2.628125,0.00112667915223121
"28","Nevada",50.7542946058094,48.4868944099382,49.4006652806653,84.5634095634096,1.86929460580913,1.44398340248963,1.24066390041494,2.82572614107884,0,0.863070539419087,0.844398340248963,2.74066390041494,1.10373443983402,0.948132780082988,1.74896265560166,1.96265560165975,0.95850622406639,2.16067653276956,2.08843537414966,1.66320166320166,0.108496732026144,0.171241830065359,0.342483660130719,0.164705882352941,0.213071895424837,0.041119715392131,53765.8235294118,40.2375,-5.60178571428571,0.00170791800656522
"29","New Hampshire",47.0492323651451,49.3721118012423,50.4498752598757,61.2525987525988,1.9149377593361,1.13692946058091,1.03526970954357,0.742738589211618,0.441908713692946,0.989626556016598,1.0954356846473,2.74066390041494,0.898340248962656,0.987551867219917,1.79253112033195,2.40248962655602,1.66182572614108,1.80761099365751,2.57823129251701,1.88981288981289,0.097622027534418,0.143929912390488,0.322903629536921,0.204005006257822,0.23279098873592,0.0547563423873523,66213.0588235294,33.58125,-5.11696428571428,0.000914630797935551
"30","New Jersey",52.7898962655603,55.7019461697722,54.8680873180874,40.213987473904,2.05186721991701,1.46088794926004,1.02904564315353,3.03319502074689,0.240663900414938,1.0207468879668,0.844398340248963,2.74066390041494,1.09958506224066,1.64522821576763,1.77800829875519,2.52697095435685,1.53319502074689,2.19450317124736,2.61904761904762,1.9043659043659,0.106493506493507,0.151948051948052,0.346753246753247,0.180519480519481,0.214285714285714,0.0394847040029396,69530,36.440625,-7.44776785714285,0.00271145095463714
"31","New Mexico",64.4148541666667,59.8330848861284,62.5923799582466,41.8139293139293,1.97291666666667,1.83125,1.64375,3.31875,1.58333333333333,0.84375,1.49375,2.73958333333333,1.10625,0.839583333333333,1.6875,2.52291666666667,1.45833333333333,2.2484076433121,2.64827586206897,2.07098121085595,0.118421052631579,0.153947368421053,0.313157894736842,0.173684210526316,0.240789473684211,0.0481985572962049,45129.3529411765,39.51875,-5.44732142857143,0.00188991151284086
"32","New York",62.2650622406635,64.9043685300205,62.0791476091475,37.7598752598753,2.03941908713693,1.94813278008299,1.49170124481328,3.09128630705394,0.858921161825726,1.0207468879668,1.44398340248963,2.77385892116183,1.68672199170124,1.68879668049793,1.81327800829876,2.4356846473029,1.67634854771784,2.35517970401691,2.63945578231292,2.14968814968815,0.109833971902937,0.171136653895275,0.328224776500639,0.173690932311622,0.215836526181354,0.0459059474553043,70530.1176470588,36.34375,-5.99375,0.00259449168625473
"33","North Carolina",56.9103734439833,54.0728985507245,54.4458627858626,35.3645833333333,1.88589211618257,1.70539419087137,0.975103734439834,2.66597510373444,0.844398340248963,1.17842323651452,1.04356846473029,2.74012474012474,1.10580912863071,1.36099585062241,1.70954356846473,1.68464730290456,1.10995850622407,2.81606765327696,2.29931972789116,1.66528066528067,0.112418300653595,0.154248366013072,0.339869281045752,0.173856209150327,0.220915032679739,0.048702020090428,50482.0588235294,35.209375,-4.58080357142857,0.00117465350550669
"34","North Dakota",40.0873804573807,41.7188819875776,42.5696458333333,55.2215189873418,1.81288981288981,0.93970893970894,0.931392931392931,0.457380457380457,0.108108108108108,0.756756756756757,0.906444906444906,2.74012474012474,0.877338877338877,0.744282744282744,1.79209979209979,1.85654885654886,1.57380457380457,1.40042372881356,2.70547945205479,1.34791666666667,0.135099337748344,0.181456953642384,0.307284768211921,0.16953642384106,0.206622516556291,0.045189921752492,60007.4705882353,29.865625,-1.315625,0.00194680265061693
"35","Ohio",54.3613900414942,53.7235817805381,55.9704989604992,35.3170478170478,2.07883817427386,1.32572614107884,1.19502074688797,3.38796680497925,0.12655601659751,1.07261410788382,0.844398340248963,2.74066390041494,1.10788381742739,0.821576763485477,1.83609958506224,2.36514522821577,1.63485477178423,2.15221987315011,2.80952380952381,1.88149688149688,0.110966057441253,0.155352480417755,0.323759791122715,0.182767624020888,0.227154046997389,0.0432175755192312,52262.4117647059,36.2125,-5.76964285714286,0.00161113941446155
"36","Oklahoma",42.695560165975,43.5440993788821,44.6707068607068,59.0742677824268,2.01244813278008,1.02697095435685,0.970954356846473,1.4149377593361,0.522821576763486,0.906639004149378,0.844398340248963,2.74066390041494,0.863070539419087,0.765560165975104,1.8195020746888,2.50414937759336,0.95850622406639,2.08033826638478,2.69387755102041,1.85031185031185,0.122311827956989,0.165322580645161,0.325268817204301,0.170698924731183,0.21505376344086,0.0337017157096766,49816.4705882353,38.740625,-1.16919642857143,0.00168011696845384
"37","Oregon",54.4150313152403,52.7687784679094,51.7459832635984,51.7819706498952,2.03131524008351,1.70146137787056,1.68893528183716,3.26722338204593,0,1.0062630480167,0.931106471816284,2.73903966597077,1.10647181628392,1.67223382045929,1.7223382045929,1.37369519832985,1.06054279749478,2.14042553191489,2.5625,2.01464435146443,0.106870229007634,0.162849872773537,0.33206106870229,0.16412213740458,0.232824427480916,0.0514953493754062,55351,39.775,-4.93928571428571,0.000579259530109457
"38","Pennsylvania",51.9598535564855,54.191780538302,54.5362683438154,70.6131078224101,2.02092050209205,1.36610878661088,1.26778242677824,2.34518828451883,0.433054393305439,0.989539748953975,1.06066945606695,2.73849372384937,1.07949790794979,1.16317991631799,1.81380753138075,2.14853556485356,1.40376569037657,2.48827292110874,2.58741258741259,2.28301886792453,0.101152368758003,0.157490396927017,0.317541613316261,0.185659411011524,0.23943661971831,0.043017314078537,59498.1764705882,35.56875,-4.88303571428571,0.00197819660960687
"39","Rhode Island",58.9566244725736,61.6612629399588,60.2704651162793,42.0693277310924,1.86708860759494,1.68565400843882,1.31645569620253,2.85443037974684,0,0.989451476793249,1.66666666666667,2.73628691983122,1.4915611814346,1.68143459915612,1.87341772151899,2.51476793248945,1.56118143459916,2.29032258064516,2.11510791366906,2.43340380549683,0.110970996216898,0.16015132408575,0.319041614123581,0.186633039092055,0.224464060529634,0.0409790869527478,57235.8235294118,35.478125,-5.88526785714286,0.00241459007156807
"40","South Carolina",47.9465618448635,50.3694202898551,51.5005462184872,37.9175365344468,1.90775681341719,1.0293501048218,1.0230607966457,2.14465408805031,0.150943396226415,0.861635220125786,0.90146750524109,2.73794549266247,1.08595387840671,0.972746331236897,1.82389937106918,2.20335429769392,1.68343815513627,2.17948717948718,2.77464788732394,2.03361344537815,0.106493506493507,0.150649350649351,0.323376623376623,0.179220779220779,0.238961038961039,0.0407791948578742,48097.2352941177,34.921875,-5.15758928571429,0.00180007132030649
"41","South Dakota",40.0508731808729,40.0755693581781,40.3390208333333,37.2141372141372,1.60498960498961,0.981288981288981,0.935550935550936,0.299376299376299,0,0.756756756756757,0.875259875259875,2.74012474012474,0.864583333333333,0.852390852390852,1.76299376299376,1.8004158004158,0.958419958419958,1.59533898305085,2.27397260273973,1.5625,0.110363391655451,0.154777927321669,0.31628532974428,0.183041722745626,0.234185733512786,0.0606610152283369,58487.3529411765,29.965625,-4.83705357142857,0.00218221271303717
"42","Tennessee",51.2764522821576,48.9720496894409,50.6491891891892,36.4085239085239,1.90663900414938,1.4356846473029,1.4792531120332,2.87136929460581,0.782157676348548,0.906639004149378,0.850622406639004,2.74066390041494,0.883817427385892,0.815352697095436,1.71161825726141,2.52282157676349,0.95850622406639,1.98520084566596,2.46258503401361,1.74012474012474,0.112418300653595,0.162091503267974,0.33202614379085,0.17516339869281,0.218300653594771,0.0429017873322288,50640,36.78125,-3.59553571428572,0.00172813309192123
"43","Texas",48.7949170124481,47.0138302277431,48.4781288981292,35.125260960334,1.97302904564315,1.7344398340249,1.51244813278008,3.16804979253112,0,0.964730290456432,0.95643153526971,2.75103734439834,0.863070539419087,0.838174273858921,1.68879668049793,1.7551867219917,0.95850622406639,2.10570824524313,2.83673469387755,1.97089397089397,0.129120879120879,0.178571428571429,0.358516483516484,0.156593406593407,0.177197802197802,0.0414991057152885,55450.5882352941,38.746875,-5.05401785714286,0.0016810674742871
"44","Utah",43.9902708333334,42.3750310559007,43.3919415448854,43.3212058212058,1.86666666666667,1.01458333333333,1.12083333333333,2.12916666666667,0,0.772916666666667,0.84375,2.73958333333333,0.8625,0.741666666666667,1.75416666666667,1.7875,1.30208333333333,1.76857749469214,2.5448275862069,1.16701461377871,0.157514450867052,0.190751445086705,0.34971098265896,0.13728323699422,0.166184971098266,0.0495856678987121,50816.1176470588,35,-2.64285714285714,0.00064933673408278
"45","Vermont",59.4765560165972,60.6103933747414,59.6768958333332,59.1286307053942,2.00414937759336,1.36721991701245,1.70124481327801,2.98340248962656,0,0.91701244813278,1.70124481327801,2.74066390041494,1.64522821576763,1.42116182572614,1.78838174273859,2.41078838174274,1.71101871101871,2.09322033898305,2.4041095890411,2.18541666666667,0.106832298136646,0.137888198757764,0.306832298136646,0.196273291925466,0.253416149068323,0.0347176035232906,55993.5882352941,34.203125,-4.56741071428571,0.000374810658665199
"46","Virginia",51.8091701244811,49.6390683229814,50.520810810811,66.5280665280665,2.00414937759336,1.05809128630705,1.19294605809129,2.81120331950207,0,1.07053941908714,1.17219917012448,2.74066390041494,1.03112033195021,0.985477178423237,1.70746887966805,2.29460580912863,1.34854771784232,1.72515856236786,2.6734693877551,1.11226611226611,0.109660574412533,0.156657963446475,0.345953002610966,0.176240208877285,0.212793733681462,0.0433741766657738,60917.2352941177,34.525,-4.46071428571429,0.00122400889809701
"47","Washington",55.7314906832301,53.8471014492751,53.0606431535271,41.7619542619543,2.0703933747412,1.6832298136646,1.60455486542443,3.38509316770186,0.830227743271222,1.01449275362319,0.865424430641822,2.74120082815735,1.12008281573499,1.40165631469979,1.72256728778468,1.7991718426501,0.960662525879917,2.05485232067511,2.17567567567568,2.04356846473029,0.109090909090909,0.179220779220779,0.337662337662338,0.167532467532468,0.207792207792208,0.0473679871645885,65859.0588235294,37.515625,-4.83705357142857,0.000695324864371263
"48","West Virginia",50.3521212121213,51.0466666666668,52.0834490238612,41.953125,1.90890269151139,1.16356107660455,1.63419913419913,2.52173913043478,0,0.917748917748918,0.935064935064935,2.72943722943723,1.00828157349896,0.751552795031056,1.74327122153209,1.92132505175983,1.71428571428571,1.78481012658228,3.07432432432432,2.350622406639,0.102791878172589,0.133248730964467,0.318527918781726,0.185279187817259,0.260152284263959,0.0438661339642445,44348.5294117647,38.975,-3.79642857142857,0.00156011753258869
"49","Wisconsin",50.4375311203321,49.370745341615,50.4087110187109,39.5746887966805,2.03941908713693,1.07053941908714,0.991701244813278,3.32780082987552,0.840248962655602,0.939834024896266,0.852697095435685,2.74066390041494,1.11618257261411,0.977178423236514,1.81120331950207,2.47302904564315,1.5103734439834,2.04651162790698,2.20408163265306,1.06444906444906,0.11038961038961,0.150649350649351,0.325974025974026,0.185714285714286,0.227272727272727,0.0406208922143745,54481.0588235294,31.29375,-4.40089285714286,0.00125805174664675
"50","Wyoming",54.1070746887965,50.7056728778468,51.9748440748442,41.953125,1.70954356846473,0.977178423236514,1.13070539419087,2.40248962655602,1.58091286307054,0.773858921161826,0.844398340248963,2.74066390041494,0.862785862785863,1.01455301455301,1.8195020746888,2.13070539419087,1.30497925311203,1.54545454545455,2.62585034013605,1.48440748440748,0.110814419225634,0.156208277703605,0.323097463284379,0.180240320427236,0.229639519359146,0.0253191170135658,62737.6470588235,33.115625,-2.54419642857143,0.00121448589714963
